Title,Open Comments,Product,Date,Incoterms,Currency,Auto Number,Description,First Created,Last Updated,Unit price (Purchase/Base price) $/€
"000107 - TOMATO PASTA SAUCE GARLIC 350 GR. [La Doria, Italy][Shufersal]__10/12/2024",0,"000107 - TOMATO PASTA SAUCE GARLIC 350 GR. [La Doria, Italy][Shufersal]",10/12/2024,FOB (Free On Board),Euro,#084,,"By SmartSuite Automation on 10 Dec, 2024","By Operation Manager on 8 Apr, 2025",0.82
"000136 - TORTILLA
  CHIPS ""PAQUITA"" 50 gr [Pata S.P.A, Italy][Schestowitz]__10/12/2024",0,"000136 - TORTILLA
  CHIPS ""PAQUITA"" 50 gr [Pata S.P.A, Italy][Schestowitz]",10/12/2024,EXW (Ex Works),Euro,#078,,"By SmartSuite Automation on 10 Dec, 2024","By Success Management on 9 Jan, 2025",0.255
"000137 - CORN CHIPS
  ""PAQUITA"" 50 gr [Pata S.P.A, Italy][Schestowitz]__10/12/2024",0,"000137 - CORN CHIPS
  ""PAQUITA"" 50 gr [Pata S.P.A, Italy][Schestowitz]",10/12/2024,EXW (Ex Works),Euro,#018,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 10 Dec, 2024",
"000138 - RIPPLED
  CHIPS (GRIGLIATA) 50 gr [Pata S.P.A, Italy][Schestowitz]__10/12/2024",0,"000138 - RIPPLED
  CHIPS (GRIGLIATA) 50 gr [Pata S.P.A, Italy][Schestowitz]",10/12/2024,EXW (Ex Works),Euro,#092,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 10 Dec, 2024",
"000139 - Law Fat and Clories chips [Pata S.P.A, Italy][Schestowitz]__10/12/2024",0,"000139 - Law Fat and Clories chips [Pata S.P.A, Italy][Schestowitz]",10/12/2024,EXW (Ex Works),Euro,#046,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 10 Dec, 2024",
"000140 - CORN CHIPS ""PAQUITA"" 200 gr., White corn flour [Pata S.P.A, Italy][Schestowitz]__10/12/2024",0,"000140 - CORN CHIPS ""PAQUITA"" 200 gr., White corn flour [Pata S.P.A, Italy][Schestowitz]",10/12/2024,EXW (Ex Works),Euro,#047,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 10 Dec, 2024",
"000142 - Wafers 250g Hazelnut [Crich, Italy][Shufersal]__10/12/2024",0,"000142 - Wafers 250g Hazelnut [Crich, Italy][Shufersal]",10/12/2024,,,#138,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 10 Dec, 2024",
"000143 - Wafers 250g cocoa
 [Crich, Italy][Shufersal]__10/12/2024",0,"000143 - Wafers 250g cocoa
 [Crich, Italy][Shufersal]",10/12/2024,,,#014,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 10 Dec, 2024",
"000144 - Wafers 250g Vanilla [Crich, Italy][Shufersal]__10/12/2024",0,"000144 - Wafers 250g Vanilla [Crich, Italy][Shufersal]",10/12/2024,,Euro,#086,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 10 Dec, 2024",
"000227 - Sfornatini 140g [La Mole, Italy][Shufersal]__10/12/2024",0,"000227 - Sfornatini 140g [La Mole, Italy][Shufersal]",10/12/2024,,,#105,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 10 Dec, 2024",
"000228 - Pita Chips (Natural, Pizza, Paprika, Garlic, Herbs) [La Mole, Italy][Shufersal]__10/12/2024",0,"000228 - Pita Chips (Natural, Pizza, Paprika, Garlic, Herbs) [La Mole, Italy][Shufersal]",10/12/2024,,Euro,#069,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 10 Dec, 2024",
"000229 - Flavored coated peanuts [Maas Intersales, Netherlands][Leiman Schlussel Ltd]__10/12/2024",0,"000229 - Flavored coated peanuts [Maas Intersales, Netherlands][Leiman Schlussel Ltd]",10/12/2024,FOB (Free On Board),USD,#098,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 10 Dec, 2024",
"000230 - CHIPS
  SALTED 50 gr [Pata S.P.A, Italy][Schestowitz]__10/12/2024",0,"000230 - CHIPS
  SALTED 50 gr [Pata S.P.A, Italy][Schestowitz]",10/12/2024,EXW (Ex Works),Euro,#022,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 10 Dec, 2024",
"000231 - Organic frozen corn kernels 800 g Harduf [GreenYard, Belgium][Harduf - All Organics]__10/12/2024",0,"000231 - Organic frozen corn kernels 800 g Harduf [GreenYard, Belgium][Harduf - All Organics]",10/12/2024,FOB (Free On Board),Euro,#057,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 10 Dec, 2024",
"000232 - Organic Frozen Fine Peas Harduf 800 grams [GreenYard, Belgium][Harduf - All Organics]__10/12/2024",0,"000232 - Organic Frozen Fine Peas Harduf 800 grams [GreenYard, Belgium][Harduf - All Organics]",10/12/2024,FOB (Free On Board),Euro,#070,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 10 Dec, 2024",
"000233 - Organic frozen whole beans, Harduf 800 grams [GreenYard, Belgium][Harduf - All Organics]__10/12/2024",0,"000233 - Organic frozen whole beans, Harduf 800 grams [GreenYard, Belgium][Harduf - All Organics]",10/12/2024,FOB (Free On Board),Euro,#100,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 10 Dec, 2024",
"000234 - Organic frozen vegetable mix, Harduf 800 grams [GreenYard, Belgium][Harduf - All Organics]__10/12/2024",0,"000234 - Organic frozen vegetable mix, Harduf 800 grams [GreenYard, Belgium][Harduf - All Organics]",10/12/2024,FOB (Free On Board),Euro,#053,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 10 Dec, 2024",
"000235 - Canned sweet corn kernels, 340 gr. [DAF-AL S.r.l. , Italy][]__10/12/2024",0,"000235 - Canned sweet corn kernels, 340 gr. [DAF-AL S.r.l. , Italy][]",10/12/2024,,Euro,#062,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 10 Dec, 2024",
"000236 - Organic whole chickpeas, 400 gr. [DAF-AL S.r.l. , Italy][]__10/12/2024",0,"000236 - Organic whole chickpeas, 400 gr. [DAF-AL S.r.l. , Italy][]",10/12/2024,,Euro,#122,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 10 Dec, 2024",
